source,target
Excursion with my son ?,Excursion with my son
I studyed a word,I studied a word
Autumn - the best time in the year ? !,Autumn - the best time of year ? !
My week plan,My plan for this week .
being an artist ? !,Being an artist ? !
For a long time ! I 'm came back !,For a long time ! I 'm back !
"Hello , vevry one , nice to meet u .","Hello , everyone , nice to meet u ."
I Hate beeing alone,I Hate being alone
happy and lucky,Happy and lucky
first diary,first diary
Travelling !,Traveling !
Today 's Lunch is Oyako - don,Today 's Lunch was Oyako - don
Welcom party,Welcome party
Asking for favors of others is very difficult !,Asking for favors from others is very difficult !
My birthday is coming . .,My birthday is coming up . . .
about my aunt and my job !,About my aunt and my job !
In my nineth month of pregnancy,In my ninth month of pregnancy
in the beautiful counrty,in this beautiful counrty
happy day,Happy day
mother 's day,Mother 's Day
I ca n't sleep right now,I ca n't sleep right now .
Japanise animation,Japanese animation
I 've read a novel : `` Holes `` by Louis Sachar,I 've read the novel `` Holes `` by Louis Sachar
Terrible day,A Terrible day
Emergency of an earthquake !,Earthquake emergency !
arranged marriage,Arranged marriage .
The fisrt class of translating subject ! ! !,The first class of translating subject ! ! !
English speaking countries,English - speaking countries
confiscate,To confiscate
Year end parties,Year - end parties
Please explain me about this following term in easy English .,Please explain to me about this following term in easy ( simple ) English .
Started to study on Lang - 8 !,I started to study on Lang - 8 !
Control my Budjet,Controlling my budget
Spring semester was end .,Spring semester ended .
A Words Game,A Word Game
language is a way to make friends .,Language is a Way to Make Friends .
TYPE MOON new game,TYPE MOON 's New Game
I playing game .,I 'm playing a game .
Have you ever bought a lottery ?,Have you ever bought a lottery ticket ?
Write on the Chidren 's Day,Written on Chidren 's Day
Weather has changed,The weather has changed .
A good neigbhor I have .,A good neighbor I have .
16 june2010 . Tues,"June , 16 , 2010 . Tuesday ."
Organizaing and Planing is The Most Important Thing,Organizing and Planing is The Most Important Thing
Doraemon has already ended .,Doraemon had already ended .
The problem of education,The problem of equality in education
Why were you born in this world ?,Why Were You Born in this World ?
"Ring of Fire . A major earthquake hit Christchurch , New Zealand this early morning .","Ring of Fire . A major earthquake hit Christchurch , New Zealand early this morning ."
No one come to correct me . . .,No one came to correct me . . .
to start the Turkish .,to start learning Turkish
Which class is the best the class at 8 : 00 or in the noon ?,"Which class time is the best : at 8 : 00 , or at noon ?"
new bookcase ! !,New Bookcase ! !
I Went to Kaiten - Sushi Bar With My Wife .,I Went to a Kaiten - Sushi Bar With My Wife .
What I like to do is . . . . .,What I Like to Do
I sometimes read diary in Korean,I sometimes read diaries written in Korean
"Hello , I just joined the web site .","Hello , I just joined this web site ."
"Mon , Jul 19th 2010 , Overcast","Mon , Jul 19th 2010 , Overcast"
The way to date with your girl / boyfriend,The way to date your girl / boyfriend
Hmmm . . . After Short vacation .,Hmmm . . . After My Short vacation .
First Diary ! ! ! ! ! !,First Diary Entry ! ! ! ! ! !
parents ' love,Parents ' love
Questions for customer in a restaurant .,Questions for customers in a restaurant .
Diary for 1 . 26 . ' 11,Diary for 1 . 26 . 11
Interview with a model ( Part 1 ),Interview with a model ( Part 1 )
A joke .,A Joke
what can I do ?,what can I do ?
Write The daily for first time,Writing a diary for the first time .
Hula hoop !,Hula Hoop !
They catch mackarels,They catch mackerels
Gift,Gift
Eternal sunshine of spoless mind,Eternal sunshine of the spotless mind
What will I write about ?,What Will I Write About ?
The first Halloween,Our first Halloween
Happy new year every one ! IELTS task 2 / part1,Happy new year everyone ! IELTS task 2 / part1
Stired rice noodles,Stirred rice noodles
Today 's schedule .,Today 's Schedule
please correct my English . It 's diary about the rise of the price of cigarette .,please correct my English . It 's a diary about the increase * of the price of cigarettes .
Did you know Japanese manga `` One - Peace `` ?,Did you know the Japanese manga `` One - Piece `` ?
I have a question of comics,I have a question about comics
A Summer Festival in Fukui,A Summer Festival in Fukui
This is my first time to use the Lang - 8,This is my first time using Lang - 8
Birthday my son 's friend : ),My son 's friend 's birthday : )
Today 's goal .,Today 's goals .
Tommorow Never Knows,Tomorow Never Knows
Shogi ( Japanese chess ),Shogi ( Japanese chess )
Chinese Parents Have Much Pressure to Bring Up a Child,Chinese Parents Have to Much Pressure to Bring Up a Child
I 'm so tired .,I 'm so tired .
Exam on English Linguistic .,Exam on English Linguistics .
"I bought awesome CD ! Kitty , Daisy & Lewis , they are cool .","I bought an awesome CD ! Kitty , Daisy & Lewis , they are cool ."
Start American football,First Day of American Football
hunging out with my friends .,Hanging out with my friends .
A Flower of Cotton Plant - Garden Report 2,A Flower of the Cotton Plant - Garden Report 2
The first time comes here,My first time here
Is the internet good tool to study English ?,Is the Internet a good tool to study English ?
The Bigining of 2010,The Beginning of 2010
My grandparents,My Grandparents
I 'm back,I 'm Back
Life of Junior Student,Life of a Junior Student
I am interesting in psychology .,I am interested in psychology .
club week,Club week
For my firend,For my friend
From Today,Today
I wonder . . .,I Wonder . . .
Speaking draft : What are the important characteritics or qualities in a friend ? Why are they important ? Include details and examples to support your explanation .,Speaking draft : What are the most important characteritics or qualities in a friend ? Why are they important ? Include details and examples to support your explanation .
Sendai is great city ! I,Sendai is a great city !
Tales of moon,Tales of the Moon
A tarented person who can talk with a goat,A talented person who can talk with a goat
It 's gotten hotter,It 's gotten hotter !
this is my first time to write in lang - 8,This Is My First Time write / Writing in / At Lang - 8
rainning ~ rainning ~,raining ~ raining ~
Design is a hard work,Design is hard work
`` Mr . Incredibles ``,`` Mr . Incredibles `` - `` The Incredibles ``
Get and Lost,Get and Lose
on the way to my home,On my way home .
Drinkng with my custumer .,Drinking with my custumer .
Crithmas Present .,Christmas Present .
melancholy haruhi suzumiya movie,The melancholy of haruhi suzumiya movie
As If The Another World,As If It Were Another World
I make wrong decision ?,Did I make the wrong decision ?
Planning about a Holiday at Switzerland and Finland,Planning a Holiday to Switzerland and Finland
Pferdes scheren,Pferde scheren
Friends TV Play,Friends TV Series
MY BIGGEST ADVEMTURE IN THIS SUMMER ! ! !,MY BIGGEST ADVENTURE IN THIS SUMMER ! ! !
Their mind have never changed since WW2,Their minds have not changed since WW2 .
How is the Japanese language ?,Where does the Japanese language come from ?
Journal Limits for the correction - suggestion for lang - 8,Journal Limits for receiving corrections - a suggestion for lang - 8
Hot day,A hot day
I dicided taht go back to Japan .,I dicided to go back to Japan .
I 'll move to Fukuoka next March .,I 'll Move To Fukuoka Next March .
My daughter got illness .,My daughter got sick .
I 'm sensitive ?,Am I sensitive ?
I 'm goint to turky !,I 'm going to Turkey !
Exchanged student !,Exchange Student !
Today 's thought : To Be Right or To Love Others ( 20th Oct . ),Today 's thoughts : To be Self - Righteous or to Love Others ( Oct . 20th )
Bought a new camera,( I bought ) a new camera
my first post . .,My first post . .
I have finished a exam .,I have finished an exam .
first day I come here,My first day here .
Keep practicing important,It is important to always practice
is my message shown to even people not living in japan ?,Is my message shown even to people not living in Japan ?
THE MOST HEATED WOMAN,THE MOST HATED WOMAN
First India .,First Time in India .
full moon,Full moon
study for america,Studying for my trip to America
answer my own question : inteview style,Answer my own question : inteview style
childish spoken English,Childish - spoken English
too hot . . .,too hot . . .
Recipe for macaroni salada with avocado,Recipe for macaroni salad with avocado
These days I am busy studying : (,These days I 've been busy studying : (
Thoughts on nuclear power plant,Thoughts on the nuclear power plant
My English skill .,My English Skill
Driver license school,Driver 's license school
Homework,Homework
About this blog 's perposes .,About This Blog 's Purpose
I would like to go the whistler .,I 'd like to go to the Whistler .
Result of two days Tonkatsu,The result of two days eating Tonkatsu
I love the ceramic angels,I love ceramic angels
The reason she dislike a bathroom .,The reason she dislikes thebathroom .
Colored Leaves,Colored Leaves
"A Little Bit of Myself ; jobs , traveling","A Little Bit About Myself ; jobs , traveling"
The advantage of temptation,The Advantage of Temptation
Bento Box Passage Like as Talking with My Foreign Friends,Bento Box Passage Like I Was Talking with My Foreign Friends
I had cold,I had a cold
Did you see the Gozan - no - okuribi ?,Did you see the Gozan - no - okuribi ?
English lesson,English Lesson
An essay,An Essay
English conversation school in Internet,English conversation in school on Internet
I love coffe,I love coffee
Peace Begins a Smile .,Peace Begins with a Smile .
Hard To Recover Completely,Hard to Recover Completely
About war between Japan and Russia in 1904,About the war between Japan and Russia in 1904
Extensive reading teaching was angry,Our Extensive Reading Teacher was Angry !
Talking about the last trip,About the last trip
"today , I worte dialy .","Today , I wrote a journal !"
I love to see a documentary,I love to watch documentaries .
I like listening to music XD,Ilike listening to music XD
I Challenge a New Thing !,I Take on a New Challenge !
I can play the song `` Stand by me `` with guitar .,I can play the song `` Stand by me `` on guitar .
First entry : I would like to introduce my self,First entry : I would like to introduce myself
I have registered premium account,I have registered for a premium account
Reason for my joining Lang - 8,Why I joined Lang - 8
The bus has never turned up .,The bus never turned up .
25-Feb,25 . Februar
I went to shopping with my friend .,I went shopping with my friend .
y profile,My profile
self - story,personal story
My first diary entire,My first diary entry
help me : ),Help me please : )
Lay judge system,Jury system
My thought about a part time job .,My thoughts about a part time job .
When you enter Japanese House,When you enter a Japanese House
I could saw my son,I could see my son
My first day in this site,My first day on this site
please crrect these sentence ! !,Please correct these sentences ! !
I hope . . .,I hope . . .
I was thinking,I was thinking
Some English I found it hard to understand in the past,Some English I found hard to understand in the past
go on a diet,Going on a Diet
Tunami is commin,Tsunami is coming
The Japanese dealects,The Japanese dialects
My house 's dream .,My Dream House .
"many people read my entries , but no one correct for me . Every check is a letdown T T","Many people read my entries , but no one corrects for me . Every check is a letdown T T"
five stars,Five stars
Japanese chestnuts sweets,Japanese chestnut sweets
Playing Kite when Strongly Wind,Flying A Kite When There Is A Strong Wind
`` would `` is difficult to understand the meaning .,It is difficult to understand the meaning of `` would `` .
The taste is too bad,The taste was horrible .
My first diary,My first journal
Essay : Agree or disagree with `` it is more important to spend more time working than being with family ``,Essay : Agree or disagree with `` Is it more important to spend more time working than being with family ? ``
I will graduate at Korea university in august .,I will graduate from Korea University in August .
All HELLOOO ! ! !,HELLOOO EVERYONE ! ! !
I cought cold .,I caught a cold .
love,love Love
waterfall training ?,Waterfall Training ?
My language excnage partner,My language exchange partner
A day good,A good day
What I doing these days,What I 've been doing these days
preparing the ielts . . . .,preparing for the ielts . . . .
Why I am studying english now ?,Why I am Studying English Now ?
I enter omegle,I joined omegle
About my self .,About Myself .
It is my plan on my birthday .,This is my plan for my birthday .
Thesis .,Thesis .
hang in,hanging in
How to ride on a train in Japan .,How to ride on a train in Japan .
IELTS Writing Task 2 should children learn foreign language from elementary school,IELTS Writing Task 2 should children learn foreign languages from elementary school
not title,no title
The movie,The movies
I met an old woman who are studying Korean .,I met an old woman who is studying Korean .
My younger sister has a problem about entering university .,My younger sister has a problem entering in a university .
I am going to Canada & USA,I am going to Canada and America . ( Native tone )
The result of Test,The result of the test
Why did I in Japan ?,Why was I in Japan ?
The First Thing I Do When I learning Guitar,The First Thing I 'll Do When I learn Guitar
I had a very ordinarish day today,I had a very ordinary day today
Roshian Dinner,Russian Dinner
The Developing Story,( The ) Developing Story
Coldness of the my room caused a tragedy,The coldness of my room caused a tragedy
Make a chocolate cake : ),Made a chocolate cake : )
email to ombusman about a trouble concerned with my housemate,email to ombusman about some trouble / ( a problem ) concerning my housemate
It 's too hot to work !,It 's too hot to work !
OS for home PC . Part 1,OS for your home PC . Part 1
I wato to be able to sking .,I want to be able to go skiing .
About many english entries,About the many English entries
Poor english,Poor English
About Japanese,About Japanese products
Can you recommend nice nations ?,Can you recommend some nice countries ?
12 . 14,"December , 14th , 2010 ."
Do you have online portfolio ?,Do you have an online portfolio ?
Hi ~ Everybody ~ It 's first time to write here ^ ^,Hi ~ Everybody ~ It 's first time I write here ^ ^
The plan of New Year 's Holidays,Planning for New Year ' s
I took a bath one hour .,I took a bath one hour . ago .
My senier student .,My senior .
Worst nightmare,My worst nightmare
State of purpose,Statement of purpose
So long no write from last tome . .,It 's been a long time since I last wrote . . .
Looking for new bicycle,Looking for new bicycle
Pansy in my garden,Pansies in my garden
My temporaly office in London .,My temporary office in London .
It 's so nerous,It 's so nervous .
Thinking of myself and Kowing well about myself,Thinking of myself and knowing myself well .
Job hunting activity,Job hunting
"I am blue , I am puzzle .","I am blue , I am puzzled ."
Other invented story .,Another invented story .
I have a qustion .,I have a question .
bad day !,Bad day !
The application for iPhone,An application for the iPhone
I got over my cold : ),I Got Over My Cold : )
The reason of 28 of Feburually,The reason for the 28th of February
What Is the God ?,Who Is God ?
Happy new year ~,Happy New Year ~
Shanghai is beautiful city .,Shanghai is a beautiful city .
How to Write Good Paragraph and good communication ?,How to Write Good Paragraphs and excute good communication ?
Try Canyoning,Try Canyoning
What 's iPad ?,What 's the iPad ?
A busy season has just strarted,A busy season has just started .
What 's the difference between `` too `` and `` as well ``,What is the difference between `` too `` and `` as well ``
Enjoy studying English through movies,I Enjoy Studying English Through Movies
She is coming my hometown .,She is coming to my hometown .
I spend too much money for my English textbook,I spent too much money for my English textbooks
Thinking About Current Political Situations,Thinking About the Current Political Situation
I 've just joined !,I just joined !
I took a jupiter photo .,I took a photo of Jupiter .
something about my life,Something about my life
Famaly Party,Family Party
The secret garden is amazing ! !,The `` Secret Garden `` is amazing ! !
Todat 's dinner is a Thai curry .,Today 's dinner is Thai curry .
"broke up with my girlfriend . . . . actually , , she broke it up . .","I broke up with my girlfriend . . . . actually , , she broke with me . ."
practice teaching,Teaching practice .
Gion Festivall,Gion Festival
I watched the Ninja Assassin .,I watched the movie `` Ninja Assassin . ``
The most Terrible Day of My Life,The Most Terrible Day of My Life
Feel like a thousand days,Feels like a thousand days
My frist time `` Lang - 8 ``,My first time `` Lang - 8 ``
Over sleep !,Oversleep !
my wif go home today !,my wife comes home today !
It 's just a beginning . . .,It 's just the beginning . . .
THE FIRST TIME ON HERE,MY FIRST TIME ON HERE
The infinite space and the evolution of human being ! ! ! A Review of `` 2001 : A Space Odyssey ``,The infinite space and the evolution of human beings ! ! ! A Review of `` 2001 : A Space Odyssey ``
The Eagle Turned To A Chicken,The Eagle That Turned Into A Chicken
writing a essay,writing an essay
My mistake is not rely only on me .,My mistake is not rely only on myself .
I registerd Lang - 8,I registered on Lang - 8
"Come on , write again !","yoshi , kakuzo ! !"
High Yen,The High Yen
my room,my roomma chambre
a trip to L . A .,A Trip to L . A .
Strong Winds !,Strong Wind !
Long as possible,As Long as possible
sunshine everywhere .,Sunshine everywhere
I found a ESL ( English as s Second Language ) website .,I found an ESL ( English as s Second Language ) website .
school trip,School trip
My 1st diarly !,My 1st diary !
When there has habit only,When there is habit only
"first time , I write in Lang - 8",My first time writing on Lang - 8
needs patience,I need patience
I was yogaing .,I was yogaing . I practiced yoga .
Japanese seasonable custom,Japanese seasonal custom
This is my first diary in Lang - 8,This is my first diary in Lang - 8
Wet on my clothes,My clothes got wet .
Sudden strong rain,Sudden Downpours
Flying experience,Flying Experience
It is very difficult to recite english separate words ! ! !,It is very difficult to recite separate English words ! ! !
why nobody edit my article,Why did n't anybody edit my article ?
Humid and itches,Humidity and itches
"Let me know the name of your textbooks to learn Japanese language , please .",Please Let me know the name of your Japanese language textbooks .
I make it ! !,I done it ! !
Happy Holiday : ),Happy Holidays : )
Part3 I went to china on the business trip for the first time,Part3 I went to china on a business trip for the first time
The book,The Book
Japnanese Grammar,Japanese Grammar
Yesteerday with my friends,Yesterday with my friends
stretch exercise,stretching exercise
"I can barely feel my fingers , it 's too cold ! ! ! ! !",I can barely feel my fingers - it 's too cold ! ! ! ! !
I can not sleep tonight,I ca n't sleep tonight
The curious incident of the dog in the night - time .,The curious incident of the dog at night .
What 's the Pirete English ?,What 's the Pirate English ?
EBS > Questions related `` Moving offices ``,EBS > Questions related to `` Moving offices ``
between Australian English and American English,A comparison between Australian English and American English
Listen and wirte down,Listen and write down
"I have a msn account ,","I have an msn account ,"
Shit ~ I skipped the ESL class .,Shit ~ I skipped an ESL class .
My friend had a baby,My friend 's wife had a baby
Marry Christmas ! ! ! ! !,Merry Christmas ! ! ! ! !
play soccer with hyun sung .,I played soccer with Hyun Sung .
Hi . My nickname is Sunny .,"Hi , my nickname is Sunny ."
Quiz ! I ca n't hit upon a answer . . . Would anyone help me ?,Quiz ! I ca n't think of an answer . . . Would anyone help me ?
Thanks to my penfriend !,Thanks to my penpal !
the first blog on this website,My first blog on this website
Conversation over the phone,Conversation on the phone
indonesia - japanese dictionary,Indonesia - Japanese dictionary
it is so hot this summer in japan,It is so hot this summer in Japan
Should Firework Be Banned ?,Should Fireworks be Banned ?
Reguler customer `` Yagyu ``,"Regular customer , `` Yagyu . ``"
Thailand impression,Thailand Impression
What can I do in order to make a good party ?,What can I do in order to throw a good party ?
Throuing things and goods away,Throwing things and goods away
First novice comentary,First entry
A beautiful day beginning !,A beautiful day is beginning !
The best hamburger in Manila,The Best Hamburger in Manila
May I say dirty words ?,May I Say Dirty Words ?
become a novelist ?,becoming a novelist ?
Joining at Lang - 8,Joining Lang - 8
Smoking at the public place ( agree vs . disagree ),Smoking In Public Places ( agree vs . disagree )
I do n't know how to use a word of `` make ``,I do n't know how to use the word `` make ``
Tourists was surprised and laughing !,Tourists were surprised and laughing !
Golden Week start !,Golden Week starts !
"Hello , Lang - 8 .","Hello , Lang - 8 and Lang - 8 's members"
A mystery shopper,I want to be a mystery shopper
I Want To Make Up My Mind Be Strong .,I Want To Make Up My Mind And Be Strong .
I 'm Trying To Do Dictation .,I 'm Trying To Take Dictations .
Pyung Chang is going to hold the 2018 Winter Olympic . ^ ^,Pyung Chang is going to hold the 2018 Winter Olympics . ^ ^
It cleared up and it became hot .,It cleared up and became hot .
Chat with American 's girl .,Chat with American girls .
hello everybody,Hello everybody
I am back ! !,I am back
Traffic accident,Traffic accidents
Holle everyone,Hello everyone
Arrival time of a Japanese train is very accurate,The arrival time of Japanese trains are very accurate .
What 's worng,What 's wrong
How can I describe this type of people ?,How can I describe this type of person ?
Invited Bithday party iN AUS,Invited to a birthday party iN AUS
Yoga,Yoga
Intorduce myself,Introduce myself
letter !,( A ) Letter !
Returned to Tokyo,Back in Tokyo
Mac Book Repairing,Mac Book Repair
"Using SNS , facebook , twitter , mixi , or something","Using SNS , facebook , twitter , mixi , etc ."
I am studying english,I am studying English
Talking old friend,Talking to an old friend
Huge Explosion of a City Hall in Toronto ! ! !,Huge Explosion at the City Hall in Toronto ! ! !
I passed an examination .,I passed an examination / exam .
"shopping , !",Shopping !
A Scary News,Scary News or `` A Scary News Item ``
I 'll be a uncle !,I 'm going to be an uncle !
Hot summer has gone ?,"Hot summer , gone ?"
Introducing myself .,Introducing Myself .
I send an e - mail to my brother .,I sent an e - mail to my brother
About my part time job,About my part time jobs
Which do youl like ?,Which do you like ?
Phonetic Alphabet - - What do you use to say letters ?,The Phonetic Alphabet - - What do you use to say letters ?
Free writings,Free Writing
English grammer,English grammar
Third english conversation class,Third English conversation class
Why people attend college or university ?,Why do people attend college or university ? these are the same thing
Tag question,Tag Questions
Nuclear Energy Should Continue,Nuclear Energy Should Continue to be Used
It 's rainy day,It 's a rainy day
I made up my boy friend .,I made up with my boy friend .
My good memory at high school,My good memory from high school
A country which has the most strict business manners,The country which has the most strict business manners
"one day . . . all of sudden , I think","One day , I randomly decided to move here ."
The Virtual Ballet,A Virtual Ballet
How can I do a small talk ?,How can I make small talk ?
My Days of Unemployed,My Days of Unemployment
IELTS Speaking Part . 1,IELTS Speaking Part . 2 ( ? )
I decided to move out of my dorm .,I 've decided to move out of my dorm .
Go to the final tournament !,On to the final tournament !
I wanna make a friend to use skype .,I wanna make friends through Skype .
Letter Class room by Mishima Yukio,Letter Class Room by Mishima Yukio
Roll Cake,Cake Roll
my god !,my god !
Husband,My Husband
An Expect the Chinese Real Estate Market,Forecasting the Chinese Real Estate Market
Do you know Prague ?,Do you know about Prague ?
There was a comic competition at SM Mega Mall,There was a comic competition at the SM Mega Mall
hello from new member,Hello from a new member
my new work,My new work
The first entry !,The First Entry !
What I did today,What I did today
My feelings to China,My feelings towards China
People Are Getting United Under Crisis,People Are Becoming United Under Crisis
Hope my father can be well,I hope my father will get well
I forgot swimming cap,I forgot my swimming cap
My favorite food .,My favorite foods .
today .,Today .
How to manage to change sports outfits into office clothes,How to manage to change from my sport outfits into my office clothes
`` Cut The Glass ``,`` Cut The Grass ``
Why people travel ?,Why do people travel ?
Ice coffee,Iced coffee
A Lot Of Things Happen . . .,A Lot Of Things Happened . . .
It 's very helpful for me to visit and write mt diary at the lang 8,It 's very helpful for me to visit and write my diary at lang 8
Starting to ENGLISH Study ! !,Starting to Study ENGLISH ! !
It 's my first diary at lung8 !,It 's my first diary at lang8 !
The Life in U . S . A .,Life in the U . S . A .
looking forward my high school new life,( I am ) looking forward to my new high school life
Self - introducation ! !,Self - introduction ! !
Saving for you and for me,Saving the enviroment for you and for me
This moring,This morning
Its time to start studying English for IELTS 6 . 0 ! !,It 's time to start studying English for IELTS 6 . 0 ! !
Well Done My Daughter !,"Well Done , My Daughter !"
I went to baseball stadium .,I went to a baseball stadium .
Part - time job,Part - time Job
Simple question .,A Simple Question
I can sold the item .,I sold the item .
Japanese prime minister . . .,The Japanese prime minister . . .
Is hard to write a fiction,It 's hard to write fiction
Moon is shirinking,The Moon is shrinking
"437500USD for a man . On the other hand , 18750USD for a woman .",437500USD for a man and 18750USD for a woman .
Italian eurostar,Italian Eurostar
Minute by minute,Minute by Minute
A good idea ?,A Good Idea ?
learn more . . . . every day . . .,learn more . . . . every day . . .
Swimming with old man,Swimming with an old man
Myanmar is the rain season .,It is the rainy season in Myanmar .
Good bye my tooth,Good bye to my tooth
I introduce myself .,Let me introduce myself .
This is totally my parsonal diary . . . .,This is totally my personal diary . . . .
Buildings wobble after earthquake .,Buildings Wobble After Earthquake .
I 'll do my best,I 'll do my best
Feel like going out . . . . : P,( I ) feel like going out . . . . : P
I did n't know that department store closes every monday .,I did n't know that department store closes every Monday .
Some about St . - Petersburg .,Some history about St . - Petersburg .
THE OLYMPIC GAMES SHOULD BE ABOLISHED ?,SHOULD THE OLYMPIC GAMES BE ABOLISHED ?
Today was a lot of studing English,"Today , I studied a lot of English"
Too slow,Too Slow
It ' cold day today,It 's a cold day today
Hula is difficult !,Hula is difficult !
Reset time,Reset ( rest ? ) time
"Hey , you","Hey , You !"
My spring vacation is over .,My Spring Vacation is Over
Report,A Report
I go to library .,I go to the library .
Hey ! ! my friends ! ! ! !,Hey ! ! My friends ! ! ! !
Physical exercise is more vital for older people than younger people . Do you agree or disagree ?,Physical exercise is more important for older people than younger people . Do you agree or disagree ?
"Tuesday , May 10th , 2011","Tuesday , May 10th , 2011"
had a cold,I caught a cold
First lessens day .,First day of lessons .
Newcastle university,Newcastle University
I have finished my class of English lesson,I have finished my English class
That 's what the promising life you 're wondering to know,This is the promising life you 're wondering about .
I want to make many friends in this site .,I want to make many friends on this site .
What do we need to master other languages ?,How do we master other languages ?
Dear my friend roland .,To my dear friend Roland .
I was Interviewed today .,. I had an interview today .
I want friends,I want to make friends .
The life in shanghai,Life in Shanghai
I just started keeping a Englisy diary today .,I just started keeping an English diary today .
My God is crying,My God Is Crying
Test my twitter Id,Test my Twitter ID
RSS 1 . 0 generated by rss library is not valid according to W3C RDF Validator,RSS 1 . 0 generated by the rss library is not valid according to the W3C RDF validator
Wednesday Dec 30,"Wednesday , Dec 30"
"we really know that it is the happiest , and loveliest day in a year .","We really know that it is the happiest , and loveliest day of the year ."
I Went to a Group Study,I Went to a group study
Now Popular animal in Japan,Currently popular animal in Japan
I am gutted ! !,I am Gutted ! !
"Money , Money , Money","Money , Money , Money"
my first diary,my first diary
Remaked sofa,a reupholstered sofa
I wonder that I am mature .,I wonder whether I am mature .
It ' too cold today ! !,It 's too cold today ! !
Can Sharp Survive Under This Siege ?,Can Sharp Survive This Siege ?
Ca n't eat : - X,Ca n't Eat : - X
my eyes,My eyes
"Flying sourcer ? No , It 's a flying car !","Flying saucer ? No , It 's a flying car !"
How about my pronunciation ?,How is my pronunciation ?
I am alrady awake,I am already awake
WAY TO SPEND TIME,WAYS TO SPEND TIME
I Have Back,I Am Back
He is the best ! !,He is the best !
"I want to go abroad to study , but I can ' t","I want to go abroad to study , but I ca n't ."
I 'm bold .,I 'm Bored
I was encouraged by TOEFL Listening material .,I was encouraged by the TOEFL listening materials .
Is Japanese examination too difficult ?,Is the Japanese examination too difficult ?
I want to go Turkey,I want to go to Turkey
full moon,Japanese Full moon
Who can help me,Who can help me ?
Fitness,Fitness
I was tierd .,I was tired
Greeting from Tokyo,Greetings from Tokyo
Good morning,Good Morning
I do n't want to know your hypocriptic thoughts,I do n't want to know your hypocriptic ( al ) thoughts .
Merry chrismass,Merry Chrismas
Rainy days,Rainy Days
Regretful of be unable to speak English,Regretful of being unable to speak English
I 'm home with baby,I 'm home with the baby
japanese noodle,Japanese noodle
Please help me my poor E - mail in English .,Please help write me my poor E - mail in English .
just a traslation entry,just a translation entry
I write the diary foe the first time . lol,I write a diary entry for the first time lol .
Terrible news !,Terrible News !
My friends fall in love with the Korean food .,My friends are falling in love with Korean food .
cat or dog ?,Do you like cat or dog ?
I want the american friend,I want an American friend .
I wake up at 6 : 30 . .,I woke up at 6 : 30 . . .
Colorful cake in the US,Colorful cakes in the US
Come back !,Come back ! Good .
last weekend,last weekendLast weekend
What shall we do after earthquakes .,What should we do after earthquakes .
a dinner,A dinner
The bringing up bilingual .,Bringing up a bilingual child .
Trip to the Boso Peninsula in Chiba Prefecture,My Trip to Boso Peninsula in Chiba Prefecture
I find my dream !,I have found my dream !
Fast time,Fast Time
Start Lang - 8 life ! !,Starting Lang - 8 life ! !
The second time foreign customer came to our comapny,The second time a foreign customer came to our company ( office )
There are many foreigner in my village,There are many foreigners in my village
who knows what ` s meaning ?,who knows its meaning ?
I will start writing a diary in this website,I will start writing a diary on this website
Specializing English,Specializing in English
My name is Zero,My Name is Zero
Twitter is a terrible media,Twitter is an amazing media
I am new for here,I am new here
The origin of love,The Origin of Love
English Words Game,English Word Game
Huge Earthquake and Tsunami,The Huge Earthquake and Tsunami
in 2ch 's irc . . . . .,In 2ch 's IRC channel . . .
I 'm need a little help,I need a little help
Why many Japanese people ca n't speak English ?,Why can ' tmany Japanese people speak English ?
"Hellow , everyone .","Hello , everyone ."
gift to me,gift for me
Frist time of Lang - 8,First time on Lang - 8
I do n't know why I 'm very slowly for my English,I do n't know why I 'm very slow when it comes to English
May I Ask Your Favor ?,May I Ask A Favor Of You ?
My Forigher Friend,My Foreign Friend
"We use the different language , but we have the same heart .","We use different languages , but we have the same heart ."
I have to make recap used phrase of learned in GMP .,I have to recap some phrases I learned in GMP .
The comics show in Xi ' an,The comics shown in Xi ' an
Nice to meet you ! ! !,Nice to meet you ! ! !
Schocking LaLa mountaion trip,Shocking LaLa mountain trip
Living in a place other than Tokyo . . . but in Japan,Living in another city in Japan . . .
Driving license,Driver 's license
I made a cake .,I Made a Cake .
Where is ?,Where is it ?
I 'm going to barbar to cut my hair .,I 'm going to barber to have my hair cut .
I bought the I - phone,I bought an iPhone
Second Advantages of lliving in a Big City,More Advantages of Living in a Big City
English is too hard to me .,English is too hard for me .
Mounting Climbing,Mountian Climbing
Day 76 : Tied . .,Day 76 : Tired . .
Loyal wedding,Royal wedding
The family .,family . or : my family
nippel & pacifier,nipple & pacifier
I made a peanuts butter pie for the first time .,I made a peanut butter pie for the first time .
I will come home and sleep today .,I will go home and sleep today .
l went to down town ! !,l went down town ! !
hot !,It 's hot !
Cold thin noodle,"Cold , thin noodles"
prepare to our training - camp,Preparations for our training camp
I played `` jubeat ``,I played `` Jubeat ``
My parchment has come .,My diploma has come .
ask for help,A request for help
I think happy time is weekend morning,I think happy time is a weekend morning
How to Deal with a Trouble,How to Deal with Trouble
a burning nose,A burning nose
my favorite band,My favorite band
I 'm working on Holiday .,I 'm working during the holiday . . .
Big distance between the writing and speaking,There 's a big difference between writing and speaking
I like leaning English .,I like learning English .
