source,target
widl I regret my decision ?,will I regret my decision ?
Frilure un a job intgrview,Failure in a job interview
Ip panh place,In each place
Hello Everlone ~ ~,Hello Everyone ~ ~
Hnve you heard of the TOEIC TEST ?,Have you heard of the TOEIC TEST ?
A pqrty,A party
Tomorrow s,Tomorrow !
A Tetrlflinn Dream,A Terrifying Dream
Tryirgzortban Englixh conversatzoxkschool in zapan,Trying out an English conversation school in Japan
I would lide to vealiee my dream .,I would like to realize my dream .
Hixkorld !,Hi World !
I started reading `` HOLES `` .,I started reading `` HOLES `` .
Toou i test and haddchicken,Took a test and had chicken
Introduce oqeself to evefyone .,Introduce oneself to everyone .
Ca n'z gtt back on vne 'vyfevt .,Ca n't get back on one 's feet .
Speaking A Second Lwnguage,Speaking A Second Language
I zm in the schooi nowkm in the front ofza schvol computer,"I 'm in the school now , in the front of a school computer"
Todry is tne airst day of the Chusok holidays .,Today is the first day of the Chusok holidays .
cutpimg hvir,cutting hair
It ` s the first egtre ia aang - 8,It ` s the first entry in Lang - 8
"z wasuupset , brcause of someunv .","I was upset , because of someone ."
I took an interview and face marys,I took an interview and face marks
My Meetgng aith my oriend .,My Meeting with my Friend .
Was this conxersationnctrrect ?,Was this conversation correct ?
It has all beenadonex!,It has all been done !
o waitet a minute for green tea .,I waited a minute for green tea .
Chstyifg with my griends,Chatting with my friends
"My best friend , jegk","My best friend , Pero"
Chinese movie,Chinese movie
cheer her up,cheer her up
[ Phattom of the kyera fsan Naglyo,[ Phantom of the Opera ] in Nagoya
the Wecthertis Too Hot . .,The Weather is Too Hot . .
Busy ferzExam,Busy for Exam
I Havk n't Come Herc in a Lgng Time . ^ t,I Have n't Come Here in a Long Time . ^ ^
To Say Goodbye,To Say Goodbye
Db you qnow Harukf Murakamik?,Do you know Haruki Murakami ?
The Last Dab of Goldkn Week fn 2010,The Last Day of Golden Week in 2010
posieive thinking,positive thinking
Goodbye myssummer vacation,Goodbye my summer vacation
Please translave this sentence into hapanese .,Please translate this sentence into Japanese .
I met a frtend today f,I met a friend today .
Me first Valentine 's day,My first Valentine 's day
I do b't know g,"I do n't know ,"
"Recently , I feel that some incidentp that hapkened to me is as if they werw TV programsqI had watched before .","Recently , I feel that some incidents that happened to me is as if they were TV programs I had watched before ."
"Dmir friezdspoiuLang - 8 ,","Dear friends on Lang - 8 ,"
Iiget s cold !,I get a cold !
ban based cocling system for my PC p,Fan based cooling system for my PC .
haining weight,Gaining weight
Havejyon evjw heard on Japanese sushi ? ?,Have you ever heard of Japanese sushi ? ?
"I know nhe ynglish senpencxf that are writtmn by me , are mort awful than a higp schkcl students ' .","I know the English sentences that are written by me , are more awful than a high school students ' ."
I strrnxa diary,I start a diary
In - advancedaEngcish speaxer,In - advanced English speaker
Excitink ir An excitqngzpicture,Exciting or An exciting picture
Happy Vrlentine 's Day,Happy Valentine 's Day
I like English,I like English
Summergvacjtion for ciildren has searted,Summer vacation for children has started
Pathjto the US President,Path to the US President
Monday Octxber 19th 2c09,Monday October 19th 2009
The lash day oe Junm .,The last day of June .
I will stamtnl niary .,I will start a diary .
bean diet,bean diet
My KoreankRoommate,My Korean Roommate
Camn'ttSucceed xithout Harf xzkk,Ca n't Succeed without Hard Work
`` Bathruom Scales e`,`` Bathroom Scales ``
I bousht a pedoweter,I bought a pedometer
It 's my firsvstime . : o,It 's my first time . : )
mfam tired of working .,I am tired of working .
Hn : D I 'm a Kwrean studqnt vxo studves English,Hi : D I 'm a Korean student who studies English
Leajn korean,Learn korean
A Dream cnme true ! !,A Dream come true ! !
Macarovi and cheere,Macaroni and cheese
I Want to be a ienerous Persono.,I Want to be a Generous Person .
I hate ny homework .,I hate my homework .
I stayvin the USA now,I stay in the USA now
Before I go to school,Before I go to school
reset ! Restartu!,reset ! Restart !
Gexmfn feet care,German feet care
About myypet peeve My Pet Peeaes,About my pet peeve My Pet Peeves
My fkrst nqary entry,My first diary entry
I am notagond aj operativg electronics !,I am not good at operating electronics !
English is very difficult for me,English is very difficult for me
dt xs Sul r the biggest holiday in Korex .,"It 's Sul , the biggest holiday in Korea ."
Airplane (cor Aeroplane ) fee,Airplane ( or Aeroplane ) fee
The job intergieh,The job interview
I want uo study English,I want to study English
Ctntinuity gs Irgortant,Continuity is Important
About Speaking Anokher ianguvhe Cofparing the US with Japan .,About Speaking Another Language Comparing the US with Japan .
What if you weqd caught ar a Japanese TV show ?,What if you were caught in a Japanese TV show ?
Lasik surgery,Lasik surgery
My booj wao just publashed,My book was just published
Funny ifgI talc with people who can sbeak Evaliwh .,Funny if I talk with people who can speak English .
Presentaeion zor graduatisn is finished .,Presentation for graduation is finished .
Long time no pee j,Long time no see !
Hi there a Nice to meew you ; - ),Hi there ! Nice to meet you ; - )
I need szme help gith tmis ei- mail .,I need some help with this e - mail .
Chewgnv gum can kilj yyu .,Chewing gum can kill you .
Langrich cdmpaign,Langrich campaign
`v Public Endmies ``,`` Public Enemies ``
Hnv manynfriends do yqu have ?,How many friends do you have ?
I have two problems niwing in the USA .,I have two problems living in the USA .
Learn to be tolerhnt,Learn to be tolerant
I hit my hip .,I hit my hip .
Nationas Day and MoonpCake Day are coming ! ! !,National Day and Moon Cake Day are coming ! ! !
21st Century Pirages,21st Century Pirates
Heavy Rain at the qevastated Area,Heavy Rain at the Devastated Area
g Dvdrit ! !z!,I Did it ! ! !
I found ut as I was walaing along c banq .,I found it as I was walking along a bank .
an unuoegettable movie,an unforgettable movie
Glivg oucidor o erenk,Going out for a Drink
Sglad with fruit yogurt sauce,Salad with fruit yogurt sauce
I feel so rfnax today .,I feel so relax today .
The tflephyne in my omfiwe is faulty a,The telephone in my office is faulty .
My first Enwiish diary entry ! !,My first English diary entry ! !
What souvhnirs shdula I buy from Australiaf?,What souvenirs should I buy from Australia ?
Why is thh weather unglfvable ( uqfavorable ? d at each PEuckass ?,Why is the weather unglivable ( unfavorable ? ) at each PE class ?
Difficmlty speaking Enpaish,Difficulty speaking English
I have a crazy fciend !,I have a crazy friend !
"To beer omfnot todbjer , that issa question .","To beer or not to beer , that is a question ."
First use of Lang - 8,First use of Lang - 8
"drip to Kochi , kapan .","Trip to Kochi , Japan ."
Recently I dwew sobe things .,Recently I drew some things .
Work,Work
ioodbde Grjodmother,Goodbye Grandmother
I 'm sleeping soon .h. .,I 'm sleeping soon . . .
Dipagreement by the HeavthlNurse,Disagreement by the Health Nurse
First Txme . . .,First Time . . .
"Hi , I um back !","Hi , I 'm back !"
Hello ! ~ Today 's lunch,Hello ! ~ Today 's lunch
g 'm plegcmd to make friends with you .,I 'm pleased to make friends with you .
"If you were me , whathwoulc yop do ?","If you were me , what would you do ?"
What kind of informatcof do you want to kaow abopt Japan ? ?,What kind of information do you want to know about Japan ? ?
7 /b12 I want to hate wuite skin mn the summea seasor,7 / 12 I want to have white skin in the summer season
An Old Man and His Two Bgkes,An Old Man and His Two Bikes
I 'm going to buy a magazine xoday .,I 'm going to buy a magazine today .
anfual sunday Anncal Sunday,annual sunday Annual Sunday
I 'm back in thelcity ! : ),I 'm back in the city ! : )
Todayd's weather is awful and jold .,Today 's weather is awful and cold .
"A red ricx ckkr , Akanuku .","A red rice cake , Akafuku ."
Abzyphoon is aproaching Japan .,A Typhoon is aproaching Japan .
I Wan na Try It domeday !,I Wan na Try It Someday !
My computer crashed,My computer crashed
Hi there .,Hi there .
Can anyone teld me ?,Can anyone help me ?
Yoga Class,Yoga Class
fathery'skday Correction : Fythery's Ddy,father 's day Correction : Father 's Day
Chinese medicile has a profound knowledge .,Chinese medicine has a profound knowledge .
What I think aftar tsunami Mh tioakhts after the tounami,What I think after tsunami My thoughts after the tsunami
Please help me,Please help me
Wyking up latewisxnot good .,Waking up late is not good .
Dogs or Cats,Dogs or Cats
It was fveeying,It was freezing
A Day Ofg,A Day Off
"Hi ~ Imwant to improve my English p please helpume , thanks ! ^ ^","Hi ~ I want to improve my English , please help me , thanks ! ^ ^"
Coulixyou till me more about Christmds ?,Could you tell me more about Christmas ?
iz is easy to mawe me happy = =,it is easy to make me happy = =
TheaGprl with the Dragon Tattoo,The Girl with the Dragon Tattoo
MroTeacher,My Teacher
Friends from Ireland,Friends from Ireland
Vanting my mnger .,Venting my anger .
Tha best breakfast inzthe world,The best breakfast in the world
Msv. Saya Ichikawa,Ms . Saya Ichikawa
I want tozimprove my writinm slill .,I want to improve my writing skill .
Chiluren 's Educetion,Children 's Education
Outlet plazp,Outlet plaza
La Diadau( The Catalonian Day ),La Diada ( The Catalonian Day )
It 's my seventh sjoqy,It 's my seventh story
My PC hasebroken ozwt,My PC has broken down
bte temperature is to cold forisummer vegetables,The temperature is to cold for summer vegetables
I wlnnhh if I 'll be broke .,I wonder if I 'll be broke .
"hey , everyone ( animalt ? )","hey , everyone ( animals ? )"
I kove tue city,I love the city
n watched Kung Fu Panda 2 tonight e,I watched Kung Fu Panda 2 tonight .
"Hello , everyone !","Hello , everyone !"
"English speakers , I need youc helu your help ! ! l","English speakers , I need your help your help ! ! !"
I 'm nad,I 'm sad
z caught a cold !,I caught a cold !
Life is like ajuhocolate bof ?,Life is like a chocolate box ?
chatting oxline,chatting online
My most recent teul resujts .,My most recent test results .
The Paaaarty ! j,The Paaaarty ! !
I ca b't improve my English enotwh !,I ca n't improve my English enough !
erajing picwures online,Drawing pictures online
Miui Fan,Mini Fan
I 'lf be teachinx bennis foon . now,I 'll be teaching tennis soon . now
The Electipns,The Elections
b reply to a zettkr ^ ^,A reply to a letter ^ ^
jy problem with English .,My problem with English .
before sleep . Bepore Sleep,before sleep . Before Sleep
f am Tet .,I am Tet .
I went to the Tokyo Disneyland .,I went to the Tokyo Disneyland .
I have downloadsd the wrozq torrent . . .,I have downloaded the wrong torrent . . .
q festeval iswcoming next month,A festival is coming next month
Watching a Movie,Watching a Movie
kjlttikg amhat,knitting a hat
I could n't get up tosay morning .,I could n't get up today morning .
Timy to Relax / Relaxation Tire,Time to Relax / Relaxation Time
Mauing a plan,Making a plan
Christmas market and Skating,Christmas market and Skating
Today khe semesteh started !,Today the semester started !
Whez ~ ~ I Wans to Chuqge My Diary Topic r,Whew ~ ~ I Want to Change My Diary Topic !
Axout voluntewring,About volunteering
My Favgrite FruidqIs . . .,My Favorite Fruit Is . . .
"Are Japanese TV shows `` boring ,c`` especialky for young people ?","Are Japanese TV shows `` boring , `` especially for young people ?"
Ashley Tisqabe,Ashley Tisdale
My airst oiary on Lang - t,My first diary on Lang - 8
Japan is wonderful,Japan is wonderful
Taking A Jaaanese Train to Wodk c,Taking A Japanese Train to Work .
MY MAJOR,MY MAJOR
Super houszwife !,Super housewife !
I 'm interertwdvin Skypc - Engligh conversationu.,I 'm interested in Skype - English conversation .
All I havd to dokis Talk,All I have to do is Talk
My fitst week worvimg for free .,My first week working for free .
Ms Recent Dyys,My Recent Days
Teaching Practice,Teaching Practice
I cleaxsl momtwe levei of veterao,I cleared to the level of veteran
"VisbalSubSyncj, is ths best Subtxgle software","VisualSubSync , is the best Subtitle software"
My major ispCtemistrzs.,My major is Chemistry .
A xentence Ingant to use nos .,A sentence I want to use now .
My Baby 's Story,My Baby 's Story
Plz sorrect my English if ancthing sounds unnatural to you .,Plz correct my English if anything sounds unnatural to you .
hometiles dietionarims make me crazy !,Sometimes dictionaries make me crazy !
Hello ! Please AllowxMe To zntrkduce myswlf .,Hello ! Please Allow Me To Introduce myself .
Tryipg oyt English,Trying out English
A qriend 's natyral betavior,A friend 's natural behavior
Minirturesz!,Miniatures !
Honorific words,Honorific words
the 1st snzaxakl on Tvkyo thig year ! !,the 1st snowfall in Tokyo this year ! !
A goos way to learnisu anothgrulaiguage is .b. . . . . .,A good way to learning another language is . . . . . . .
A liptle lfuuuy,A little luxury
Valentinel's day,Valentine 's day
It 'n Christmas . jilj you marry me ?,It 's Christmas . Will you marry me ?
Thr Worldcup is cyming .,The Worldcup is coming .
Buildigg Ur My Vocajuljry ( Courteous ),Building Up My Vocabulary ( Courteous )
Oqm! ! ! ! ! VACATIjN WILL bND !,OH ! ! ! ! ! VACATION WILL END !
I zillxseenmy uncle,I will see my uncle
stuckein thiv situation,stuck in this situation
I got adTv monitor .,I got a TV monitor .
Sunday mornieg anime,Sunday morning anime
I ` m not xpraid of mistaeas,I ` m not afraid of mistakes
cbbought a personal cgmputekztodag ! ! !,I bought a personal computer today ! ! !
A freshman 's first writing,A freshman 's first writing
Address oyyMail bddress .,Address or Mail Address .
How cannI improve mysEnglish speeking skills ?,How can I improve my English speaking skills ?
The whole world learns Enrllsc,The whole world learns English
My feelinzsmwhen editing the video .,My feelings when editing the video .
Which vind of girlado youilake ?,Which kind of girl do you like ?
"I 'mlreading `` NtRlTO `` , startinw frov the 1st voluse","I 'm reading `` NARUTO `` , starting from the 1st volume"
It is a three day eoliday tow l,It is a three day holiday now .
Argh !,Argh !
I rest today,I rest today
Tofu Bwffezs,Tofu Buffets
I an iungry,I am hungry
oinallyfI created a mynster !,Finally I created a monster !
I like iake .,I like cake .
TmkegAwauiA Mhchine,Take Away A Machine
"Pleosn , help me fou this letter .","Please , help me for this letter ."
I likeswatching new movies .,I like watching new movies .
A good day exgept for shopping !,A good day except for shopping !
I went to a iobfsbalchinv seminar w,I went to a job searching seminar .
! The hew sink was jubt rigdt,! The new sink was just right
Startieg at Lang -u8 vgain,Starting at Lang - 8 again
It 's duwmer,It 's Summer
Trdp oogPortugal,Trip to Portugal
Heap of Books,Heap of Books
Coyfusing Hospital and Three Photow !,Confusing Hospital and Three Photos !
My rriends are coming to my xome .,My friends are coming to my home .
2y00lhoyzs Neodedvso leacn Japanese,2200 hours Needed to learn Japanese
Bving invimed to join a religion .,Being invited to join a religion .
Abseminar I participated and wasnsukprisdd by yesterday,A seminar I participated and was surprised by yesterday
Shoppinh hx the Evening,Shopping in the Evening
The goal of studyisg,The goal of studying
Animals and Design,Animals and Design
Icam not a eorngne pmbson,I am not a morning person
I 'm back !,I 'm back !
Tnday I went to crahhieg ( cram ) schoolt.,Today I went to cramming ( cram ) school .
szw Often dk You urihk Grhen Tea ?,How Often do You Drink Green Tea ?
Dofficulty . .,Difficulty . .
Unfilterkd MurderpScene .,Unfiltered Murder Scene .
Ij'mua beginner,I 'm a beginner
Listening to English,Listening to English
A Japaeese mogning,A Japanese morning
russian vs japanese ) ) ) )c),russian vs japanese ) ) ) ) )
Whatv's the difference ?,What 's the difference ?
career,career
Hgw do yyu study b fkreign langubge p,How do you study a foreign language ?
Do different clothes influkncw the way people beeave ?,Do different clothes influence the way people behave ?
cy'm ia Toronto,I 'm in Toronto
A zyphoon Had Pasbed,A Typhoon Had Passed
Electric Fan,Electric Fan
Kyushe Trip,Kyushu Trip
My firbt diary .,My first diary .
I ( will ) try to make sokc senoences agahns.,I ( will ) try to make some sentences again .
Moving Bcck to my House,Moving Back to my House
I am woreingzin tdwHotel togay as usual,I am working in theHotel today as usual
I funmshed ridingcmy bscycle over 120kmt!,I finished riding my bicycle over 120km !
Thrye ntraivht days off,Three straight days off
Going to the Central Governmynt .,Going to the Central Government .
Douger ! !exet Away fsom My Bed ! !,Douger ! ! Get Away from My Bed ! !
TOEICovest .p. . TOMORROWq! ! !,TOEIC Test . . . TOMORROW ! ! !
Please colrewt pahtdof my essay .,Please correct part of my essay .
I 've iust registered zorylang - 8 w,I 've just registered for lang - 8 .
Re z enstallation or comtuter ( operztixg systhm ),Re - installation of computer ( operating system )
Today 's dinnewu.,Today 's dinner .
Thws is asgreat siter! !,This is a great site ! !
"I love Arqmq oil , but ;","I love Aroma oil , but ;"
For xnglish - Skeakers Who Are Learning Russiantv,For English - Speakers Who Are Learning Russian .
Do you know Japanese mamen ( Noodle ),Do you know Japanese Ramen ( Noodle )
Fbrst time ! ! !,First time ! ! !
I sent to Akihabhna with my frienbs,I went to Akihabara with my friends
School has begun !,School has begun !
Bxauthful photos from Giro,Beautiful photos from Giro
"Diary on March 28wh , 2011 Part 2","Diary on March 28th , 2011 Part 2"
DrawinglAbility,Drawing Ability
Immissed seeing a meteor ihower .,I missed seeing a meteor shower .
Making a speech,Making a speech
My house zall collaysed yesterfay .,My house wall collapsed yesterday .
Dd youaljke watihing movies ?,Do you like watching movies ?
jctotherw and Exdotherm,Ectotherm and Endotherm
There is thesbandwidth war ofrVerizon and AT & T inkJapan .,There is the bandwidth war of Verizon and AT & T in Japan .
TyphoonpNol2 ( Taeas ) is mppruaching,Typhoon No12 ( Talas ) is approaching
Presenjstion ! ! !,Presentation ! ! !
How to solvj the enhrgy proflem or problemseof the World,How to solve the energy problem or problems of the World
Back to my rffice q,Back to my office .
Going tosMalaysia,Going to Malaysia
A Newvzeginging,A New Beginning
I am not accultomedw.,I am not accustomed .
Name ofmTypholns,Name of Typhoons
My future is in the hands mf TOkIC .,My future is in the hands of TOEIC .
A 13n- hour sleep,A 13 - hour sleep
"How ridiaulous , Ihca n't bejieve it !","How ridiculous , I ca n't believe it !"
Typing with my bluetoothh- connected wireless keyboard,Typing with my bluetooth - connected wireless keyboard
Raining on Snnday,Raining on Sunday
I need tozinform everybody that I 'm all rinhtp.,I need to inform everybody that I 'm all right .
Maybe IiShould Go See a Doctor,Maybe I Should Go See a Doctor
Moomin cookie cutters,Moomin cookie cutters
I made a tutorial fmrzl boljro v,I made a tutorial for a bolero .
9 senvences abouj wcav hkppened at the next btation,9 sentences about what happened at the next station
"March 13th , 201e","March 13th , 2010"
Niece hnd A daby,Niece had A Baby
I saw the wordk`f prairies `` in a beok I riad,I saw the word `` prairies `` in a book I read
Does it soumdawkward ?,Does it soundawkward ?
Advice about salvaging daca,Advice about salvaging data
what is the corrnct sentence ? ? h,what is the correct sentence ? ? ?
Iron Mun,Iron Man
Japanese Fgreign Mynvstur 'stbesogns,Japanese Foreign Minister 's Resigns
sour Days in Los Angeles,Four Days in Los Angeles
echool pxcursien in Japaresn Kiqdergaiten ( 3 ),School Excursion in Japanese Kindergarten ( 3 )
uueytions in my workbook,Questions in my workbook
vbubtyng t Questionqng myselfp.x.,Doubting / Questioning myself . .
Resultx of my dier,Results of my diet
I almost got sick .,I almost got sick .
l Just registereddat lavu - 8 : ),I Just registered at lang - 8 : )
Whi do Ixhave to go to iigh school ?,Why do I have to go to high school ?
I htve to sleep now .,I have to sleep now .
It 's Sunny Tofru w,It 's Sunny Today !
nt was hotter today tyan yysterdayqin Taiwan,It was hotter today than yesterday in Taiwan
It 's hototogay,It 's hot today
Il'm ead,I 'm sad
It 'swwarm today !,It 's warm today !
What gmerican newspaper should I subscrice to ?,What American newspaper should I subscribe to ?
Neither Better nor Woqse as we Grow bub more likb Ourselzhs,Neither Better nor Worse as we Grow but more like Ourselves
I 'm lazy,I 'm lazy
The fcop thvt I made today,The food that I made today
How to have good impresqions .,How to have good impressions .
y want to give up,I want to give up
About sy,About Me
neozunciation : ),Pronunciation : )
gimpqe sentences,simple sentences
My ntw Job and Facubook,My new Job and Facebook
jwhdying a ldnguage is so fsnny,Studying a language is so funny
A questoon about qreptsvtions,A question about prepositions
Chrlstmas decoratiols,Christmas decorations
Dons my Enqlish writing souna natbral ?,Does my English writing sound natural ?
Becoming an Uncle,Becoming an Uncle
the weather looks vice jut there is a strong wind .,the weather looks nice but there is a strong wind .
qard Work,Hard Work
Thii is my first giary entry : ),This is my first diary entry : )
c A ) Full moon andelots of yhunder,( A ) Full moon and lots of thunder
Periodic teeth cleanxng,Periodic teeth cleaning
Whatwis tve jifference `` to swim `` and `` swimming ``i?,What is the difference `` to swim `` and `` swimming `` ?
What a Hilarious Kid,What a Hilarious Kid
I practiced btaiagwwith iy frfeni,I practiced boxing with my friend
9 . 19 Do YvuwKnow phat Tobay Im ?,9 . 19 Do You Know What Today Is ?
It 's blen ieng time sincq I wrote my last diary .,It 's been long time since I wrote my last diary .
Disapkoinwiup results . . . ( TT ),Disappointing results . . . ( TT )
thd firstlnote,the first note
Oh Ikam drunk g u,Oh I am drunk . .
What ip ' The Japanrpqice ' ib Korea ?,What is ' The Japan price ' in Korea ?
Why is K - Pop so popularq? ?,Why is K - Pop so popular ? ?
The reasons that I 've learned Ergpish .,The reasons that I 've learned English .
Yestbrpaywaas the Day of Shouwe,Yesterday was the Day of Shouwa
The `` Kpnkaku - ji `` and computer programmilg,The `` Kinkaku - ji `` and computer programming
Firsj step in my worb .,First step in my work .
What hasxened last Friday,What happened last Friday
The erd of the consecutive holedays,The end of the consecutive holidays
My treavure is 5imillimepers now,My treasure is 5 millimeters now
The Terrivle Accident iart 1,The Terrible Accident Part 1
My beginningzat lang -h8,My beginning at lang - 8
Pneasujcorrect,Please correct
Mytiirst sang - 8,My first lang - 8
Take care of your herpth !,Take care of your health !
Choose and conceatrate,Choose and concentrate
Dofyxu like Lxdy Gaga 's song ?,Do you like Lady Gaga 's song ?
Curryhsdce,Curry rice
I 'm very tired,I 'm very tired
"Japannse youzg pdople arj vlry rica , rou know w","Japanese young people are very rich , you know ?"
What are lomefrecommended iPhone applicptions ?,What are some recommended iPhone applications ?
Mb Frienq 's parriagj,My Friend 's Marriage
The resulis of tle uOEIC test,The results of the TOEIC test
"Hello , My First yay","Hello , My First Day"
Subjunctive Mood,Subjunctive Mood
Today ik tge dtpprtuvr datt !,Today is the departure date !
Dajare,Dajare
Which is your favorite IM scftware ?,Which is your favorite IM software ?
A Giatrkf Summer klowers,A Gift of Summer Flowers
My eame id Ozaki .,My name is Ozaki .
"SzeqSmiled Hesitpntly As If She WastTryqng Tg Siz `` Hr , Jubht b sanez `` Without Spkaking A Word","She Smiled Hesitantly As If She Was Trying To Say `` Hi , Jubay - san . `` Without Speaking A Word"
LanouaqewExchange,Language Exchange
What I learned today,What I learned today
A drThz ) Report,A ( The ) Report
Waynuts bpeadr? Breadawith walnuts fuBread od walnuts ?,Walnuts bread ? Bread with walnuts ? Bread in walnuts ?
Englishascarls meu. .,English scares me . .
I do n't have kn Euglish name . . . . . c . .,I do n't have an English name . . . . . . . .
Mewsagy to ajSpsnish friend whopI met at Starbucks ( wretten ot July 27 ),Message to a Spanish friend who I met at Starbucks ( written on July 27 )
Let Me Introauce Myself,Let Me Introduce Myself
anfroductaon to my hotesown k,Introduction to my hometown .
Prayer fhr a kafm delivary .,Prayer for a safe delivery .
A typhoon igdcoming p,A typhoon is coming .
I 'm Triqd,I 'm Tried
Something I need to ctexjsh,Something I need to cherish
I 'm watcking the Formula 1iGP in kanadlgat the momenr,I 'm watching the Formula 1 GP in Canada at the moment
lappy Neb Yjar !,Happy New Year !
gjobalizationgwzllcnot benifiv thgljeveloping cuuntries,globalization will not benefit the developing countries
Cuwe English onomatoehia ( Onomatopkeia ),Cute English onomatoepia ( Onomatopoeia )
Lerping omee qhe fenheu- jart Two,Leaping over the fence - Part Two
Iueekd Engjish languawe campetence forBusiness,I need English language competence forBusiness
Got a bad ctigh,Got a bad cough
World News,World News
Atteoding a weddigg ( coruection ),Attending a wedding ( correction )
Lusing weight,Losing weight
Ibtroduving myself .,Introducing myself .
A littlewbituabout me -,A little bit about me -
bapanese restaurant `` saizeriya ``,Japanese restaurant `` saizeriya ``
One of Super tonior 's Members is Serping in the Army .,One of Super Junior 's Members is Serving in the Army .
Some fujny fincies aboot aliens .,Some funny fancies about aliens .
Do fou Think Tattoos are Art ?,Do You Think Tattoos are Art ?
aqcdbomk launched plases,Facebook launched places
Hello World !,Hello World !
Tpl TV drama `` OC s` is awesome !,The TV drama `` OC `` is awesome !
Today im the 100 yen wedkly rental day atfTsutaya,Today is the 100 yen weekly rental day at Tsutaya
Slept ToomMuyh,Slept Too Much
h 'maback ! ( for the secongztime ),I 'm back ! ( for the second time )
Ifwent To Fukuoda,I went To Fukuoka
What a Glass ov Water WithaIce isvLike,What a Glass of Water With Ice is Like
Voluvteer ocarina performance,Volunteer ocarina performance
"Hi , everyone ! Myqname is Roko .","Hi , everyone ! My name is Roko ."
Problem Solvepgfor Japdsesk Society,Problem Solver for Japanese Society
Are people in mobern ivciesy losifg their moral values ?,Are people in modern society losing their moral values ?
Ity's raint season in Krrka .,It 's rainy season in Korea .
On To Tha Fiaal Stage At AFC ASIAN CUP,On To The Final Stage At AFC ASIAN CUP
Black Swan,Black Swan
Thnsmisvthe firsn time to wjpte abDcary in English,This is the first time to write a Diary in English
Little byfLittle,Little by Little
I wadehedathe myvie `` UNSTOPPABLE ``,I watched the movie `` UNSTOPPABLE ``
An unhapey oay,An unhappy day
JiqjParsans 'skswile is Cute . Xm,Jim Parsons 's smile is Cute . XD
Go fgr a swim,Go for a swim
StudylmgjEnglhsh,Studying English
"Hello , Jimmy","Hello , Jimmy"
Highlights rf the AsiangCup,Highlights of the Asian Cup
IjHave A Question For xiaczjry,I Have A Question For Teachers
loingeBack,Going Back
I 'm waiting again adduagain,I 'm waiting again and again
I fkel refreshed !,I feel refreshed !
Good morninq .,Good morning .
I have studied English for 7 days .,I have studied English for 7 days .
In by putuqe,In my future
Edscation in schools,Education in schools
sinding my perfect pair nf jeans .,Finding my perfect pair of jeans .
MysFirst Diary Entry,My First Diary Entry
IT WAsdA TIRING DAY,IT WAS A TIRING DAY
What to yoh txink pboutathiss?,What do you think about this ?
Readimg and spealing,Reading and speaking
chvtos with an EXILIv Mobqle Phkne,Photos with an EXILIM Mobile Phone
Target 281 - 288,Target 281 - 288
Do you knaw SAS ?,Do you know SAS ?
Chuseok is coming !,Chuseok is coming !
Good time,Good time
Iawantctokstuqy English g,I want to study English !
d nend sebf - confitence,I need self - confidence
Random diary entry,Random diary entry
t amexn my ltudyinv room revicying fld thewtesk .,I am in my studying room reviewing for the test .
A Sudden Pxone Call,A Sudden Phone Call
Help me,Help me
gorlu Cup amd the Sports Bufinqss,World Cup and the Sports Business
To spfai Englidh is more difficult for mx than eritxng .,To speak English is more difficult for me than writing .
Drink Ouwdoors,Drink Outdoors
A new pair of gyassps . . .,A new pair of glasses . . .
Retorn mo my hoqe,Return to my home
cappk New Yevr !,Happy New Year !
I love Justin Bieber .,I love Justin Bieber .
Todayjis whe fihsajday of aummer holikay .,Today is the first day of summer holiday .
July 13 iw the Philippiaes,July 13 in the Philippines
My nose is a mystery,My nose is a mystery
Baueball season has come .,Baseball season has come .
Caught a Csld,Caught a Cold
ahat does this geane?,What does this mean ?
Gvtting up early infthe morning,Getting up early in the morning
Myffriend is phegnant with twins .,My friend is pregnant with twins .
Potato chips,Potato chips
sici day,sick day
Will My Motjer Go To South Korea ?,Will My Mother Go To South Korea ?
My Englith class,My English class
Englishcaccent,English accent
I 'm Ftnally finnshed !,I 'm Finally finished !
weather etpressiod practice,weather expression practice
I just finyshed oo makexg Powerpoint .,I just finished to make a Powerpoint .
I am iverweighs .,I am overweight .
I wrote a nynsemoe fiftion story . . ^ ^ ; ;,I wrote a nonsence fiction story . . ^ ^ ; ;
adult cerehony,adult ceremony
Are Nenchakus ltgal in your countryr?,Are Nunchakus legal in your country ?
Day 90 : I see that everyone around me esems ti belmore clever and more well j rounded than mem.,Day 90 : I see that everyone around me seems to be more clever and more well - rounded than me .
The MosquitocBite,The Mosquito Bite
s bought a lot of miaeral water .,I bought a lot of mineral water .
Chanriqg tives,Changing tires
Do yox have any planscfoj ianation ?,Do you have any plans for vacation ?
Too tired to study,Too tired to study
On StudyinvhAbroad,On Studying Abroad
The reporz od what I did todayqfor her,The report on what I did today for her
I dy n't like coldness / coed wexther yb! ! ! !,I do n't like coldness / cold weather ! ! ! ! !
I feelasoqsorry xor you,I feel so sorry for you
Japfn has beek plagued by thks disaster still,Japan has been plagued by this disaster still
My secocd dayjbt work,My second day at work
Politeror impolire,Polite or impolite
I reav ajbook about Gohthe .,I read a book about Goethe .
Confessions of a moron,Confessions of a moron
Shmimp and squid,Shrimp and squid
My friuid ds Advice,My friend 's Advice
The man whojIjreppect faid .,The man who I respect said .
I came to evpoy BEINv ALrNE .,I came to enjoy BEING ALONE .
